Config,Mapping
CCC,CCC
CCD,CCD
CCL,CCL
CDC,CDC
CDD,CDD
CDL,CDL
CSL,CSL
DCC,DCC
DCD,DCD
DCL,DCM
DDC,DDC
DDD,DDD
DDL,DDM
DSL,DTM
