Config,Mapping
IICCCCC,IICCCCC
IICCCCD,IICCCCD
IICCCDC,IICCCDC
IICCCDD,IICCCDD
IIDDDCC,IIDDDCC
IIDDDCD,IIDDDCD
IIDDDDC,IIDDDDC
IIDDDDD,IIDDDDD
IISSSCC,IISSSCC
IISSSCD,IISSSCD
IISSSDC,IITTTDC
IISSSDD,IITTTDD
KKCCCCC,KKCCCCC
KKCCCCD,KKCCCCD
KKCCCDC,KKCCCDC
KKCCCDD,KKCCCDD
KKDDDCC,KKDDDCC
KKDDDCD,KKDDDCD
KKDDDDC,KKDDDDC
KKDDDDD,KKDDDDD
KKSSSCC,KKSSSCC
KKSSSCD,KKSSSCD
KKSSSDC,KKTTTDC
KKSSSDD,KKTTTDD
