Config,Mapping
TTTTT,CCCCC
TTTTU,CDCCC
TTTUT,CCCMC
TTTUU,CDCMC
TTUTT,CCMCC
TTUTU,CDMCC
TTUUT,CCMMC
TTUUU,CDMMC
TUTTT,MCCCC
TUTTU,MDCCC
TUTUT,MCCMC
TUTUU,MDCMC
TUUTT,MCMCC
TUUTU,MDMCC
TUUUT,MCMMC
TUUUU,MDMMC
UTTTT,CCCCD
UTTTU,CDCCD
UTTUT,CCCMD
UTTUU,CDCMD
UTUTT,CCMCD
UTUTU,CDMCD
UTUUT,CCMMD
UTUUU,CDMMD
UUTTT,MCCCD
UUTTU,MDCCD
UUTUT,MCCMD
UUTUU,MDCMD
UUUTT,MCMCD
UUUTU,MDMCD
UUUUT,MCMMD
UUUUU,MDMMD
