Config,Mapping
TTTTT,CICCCC
TUTTT,DIDDDC
TUUTT,DIDMDC
TUTUT,DIDDMC
TUUUT,DIDMMC
UUTTT,MIDDDC
UUUTT,MIDMDC
UUTUT,MIDDMC
UUUUT,MIDMMC
TTTTU,CICCCD
TUTTU,DIDDDD
TUUTU,DIDMDD
TUTUU,DIDDMD
TUUUU,DIDMMD
UUTTU,MIDDDD
UUUTU,MIDMDD
UUTUU,MIDDMD
UUUUU,MKDMMD
