LKCDLS,LKCDLS
LKCLCC,LKCLCC
LKCLCD,LKCLCD
LKCLCS,LKCLCS
LKCLDC,LKCLDC
LKCLDD,LKCLDD
LKCLDS,LKCLDS
LKCLLC,LKCLLC
LKCLLD,LKCLLD
LKCLLS,LKCLLS
LKDCCC,MKDCCC
LKDCCD,MKDCCD
LKDCCS,MKDCCT
LKDCDC,MKDCDC
LKDCDD,MKDCDD
LKDCDS,MKDCDT
LKDCLC,MKDCMC
LKDCLD,MKDCMD
LKDCLS,MKDCMT
LKDDCC,MKDDCC
LKDDCD,MKDDCD
LKDDCS,MKDDCT
LKDDDC,MKDDDC
LKDDDD,MKDDDD
LKDDDS,MKDDDT
LKDDLC,MKDDMC
LKDDLD,MKDDMD
LKDDLS,MKDDMT
LKDLCC,MKDMCC
LKDLCD,MKDMCD
LKDLCS,MKDMCT
LKDLDC,MKDMDC
LKDLDD,MKDMDD
LKDLDS,MKDMDT
LKDLLC,MKDMMC
LKDLLD,MKDMMD
LKDLLS,MKDMMT
